skills_count,avg_assessment_score,project_count,cgpa,internship_count,placed
1,65,1,8.0,1,0
2,41,4,5.3,3,0
4,94,4,5.0,0,0
12,83,1,7.5,3,1
1,50,5,7.7,3,1
3,57,6,6.3,2,1
7,42,2,5.1,2,0
1,88,4,7.8,0,1
7,40,4,9.8,2,1
10,76,4,9.0,1,1
1,59,6,8.3,2,1
4,42,3,9.8,2,1
6,50,2,6.9,2,1
5,39,4,5.6,1,1
8,78,2,5.8,1,1
1,59,6,9.1,0,1
7,64,0,8.8,1,1
10,70,1,9.4,3,1
11,88,1,6.6,2,1
12,98,2,5.3,3,1
4,47,4,6.7,3,1
1,44,1,5.0,1,0
7,38,3,8.8,3,1
8,97,2,7.7,0,1
2,98,6,8.2,2,1
6,44,2,8.7,3,1
1,63,4,5.4,1,1
11,68,6,5.1,1,0
3,97,0,5.3,2,1
6,69,1,5.1,0,0
10,40,0,5.8,3,1
9,46,1,9.8,3,1
3,63,4,9.6,3,1
9,55,5,9.7,2,1
11,77,3,6.7,3,1
4,38,2,5.2,0,0
4,58,0,7.7,0,1
2,34,6,4.8,2,0
4,65,5,4.9,3,0
3,90,1,5.7,3,1
2,85,2,5.5,3,1
1,42,0,9.2,3,0
2,61,1,8.4,1,1
3,65,3,5.3,1,1
9,42,0,4.9,0,0
4,51,3,9.7,3,1
7,37,1,7.1,3,1
7,63,6,4.5,3,0
12,92,1,6.0,1,1
1,37,5,6.1,2,0
9,97,1,7.7,0,1
2,53,0,9.7,0,0
4,81,0,8.1,1,1
1,40,3,7.6,2,1
12,70,1,5.6,2,0
5,88,2,8.1,0,1
10,42,0,4.6,1,0
3,74,0,7.2,1,0
9,68,4,5.4,0,1
11,43,1,7.5,2,1
2,49,2,5.1,2,0
12,73,1,7.8,2,1
5,36,0,7.2,3,1
1,30,2,9.0,1,0
5,50,5,7.9,3,1
7,31,0,7.5,0,1
3,34,6,8.2,2,1
3,85,1,7.6,0,0
1,75,1,9.4,1,1
9,82,4,6.4,1,1
4,50,6,9.5,1,1
1,52,5,9.3,2,1
7,61,2,8.7,1,1
2,78,6,8.8,0,1
4,55,6,9.1,3,1
4,58,0,6.4,1,0
2,65,2,6.0,3,1
9,72,0,8.2,0,1
5,52,4,9.2,2,1
10,85,2,4.7,2,0
9,44,3,6.9,1,1
12,85,0,5.9,1,0
11,72,4,4.9,2,0
2,68,4,8.1,2,1
6,81,5,8.1,2,1
4,83,5,7.5,3,1
3,68,3,8.2,0,1
